Episode 118/1000 - Epsilon: 0.0782, Overall Total Reward: 835
Episode 119/1000 - Epsilon: 0.0773, Overall Total Reward: 605
Episode 120/1000 - Epsilon: 0.0748, Overall Total Reward: 1180
Episode 121/1000 - Epsilon: 0.0732, Overall Total Reward: 805
Episode 122/1000 - Epsilon: 0.0707, Overall Total Reward: 1270
Episode 123/1000 - Epsilon: 0.0694, Overall Total Reward: 735
Episode 124/1000 - Epsilon: 0.0683, Overall Total Reward: 640
Episode 125/1000 - Epsilon: 0.0661, Overall Total Reward: 1225
Episode 126/1000 - Epsilon: 0.0639, Overall Total Reward: 1240
Episode 127/1000 - Epsilon: 0.0624, Overall Total Reward: 830
Episode 128/1000 - Epsilon: 0.0614, Overall Total Reward: 655
Episode 129/1000 - Epsilon: 0.0594, Overall Total Reward: 1165
Episode 130/1000 - Epsilon: 0.0586, Overall Total Reward: 570
Episode 131/1000 - Epsilon: 0.0572, Overall Total Reward: 1005
Episode 132/1000 - Epsilon: 0.0565, Overall Total Reward: 590
Episode 133/1000 - Epsilon: 0.0557, Overall Total Reward: 605
Episode 134/1000 - Epsilon: 0.0542, Overall Total Reward: 1040
Episode 135/1000 - Epsilon: 0.0522, Overall Total Reward: 1270
Episode 136/1000 - Epsilon: 0.0517, Overall Total Reward: 490
Episode 137/1000 - Epsilon: 0.0502, Overall Total Reward: 1050
Episode 138/1000 - Epsilon: 0.0488, Overall Total Reward: 1050
Episode 139/1000 - Epsilon: 0.0469, Overall Total Reward: 1375
Episode 140/1000 - Epsilon: 0.0460, Overall Total Reward: 775
Episode 141/1000 - Epsilon: 0.0452, Overall Total Reward: 705
Episode 142/1000 - Epsilon: 0.0439, Overall Total Reward: 1040
Episode 143/1000 - Epsilon: 0.0432, Overall Total Reward: 700
Episode 144/1000 - Epsilon: 0.0426, Overall Total Reward: 560
Episode 145/1000 - Epsilon: 0.0422, Overall Total Reward: 465
Episode 146/1000 - Epsilon: 0.0395, Overall Total Reward: 2245
Episode 147/1000 - Epsilon: 0.0381, Overall Total Reward: 1330
Episode 148/1000 - Epsilon: 0.0376, Overall Total Reward: 525
